video_path,t_impact,stroke_type,stroke_id
data/Indoor Field/Straight Shot/Top-View/IST63.mp4,1.785,straight_shot,IST63_topview
data/Indoor Field/Straight Shot/Top-View/IST67.mp4,1.852,straight_shot,IST67_topview
data/Indoor Field/Straight Shot/Top-View/IST15.mp4,1.168,straight_shot,IST15_topview
data/Indoor Field/Straight Shot/Top-View/IST60.mp4,1.802,straight_shot,IST60_topview
data/Indoor Field/Straight Shot/Top-View/IST91.mp4,1.535,straight_shot,IST91_topview
data/Indoor Field/Straight Shot/Top-View/IST08.mp4,1.001,straight_shot,IST08_topview
data/Indoor Field/Straight Shot/Top-View/IST47.mp4,2.019,straight_shot,IST47_topview
data/Indoor Field/Straight Shot/Top-View/IST78.mp4,1.919,straight_shot,IST78_topview
data/Indoor Field/Straight Shot/Top-View/IST46.mp4,2.035,straight_shot,IST46_topview
data/Indoor Field/Straight Shot/Top-View/IST61.mp4,1.969,straight_shot,IST61_topview
data/Indoor Field/Straight Shot/Top-View/IST59.mp4,1.685,straight_shot,IST59_topview
data/Indoor Field/Straight Shot/Top-View/IST23.mp4,1.034,straight_shot,IST23_topview
data/Indoor Field/Straight Shot/Top-View/IST74.mp4,1.818,straight_shot,IST74_topview
data/Indoor Field/Straight Shot/Top-View/IST32.mp4,1.969,straight_shot,IST32_topview
data/Indoor Field/Straight Shot/Top-View/IST37.mp4,1.718,straight_shot,IST37_topview
data/Indoor Field/Straight Shot/Top-View/IST95.mp4,2.035,straight_shot,IST95_topview
data/Indoor Field/Straight Shot/Top-View/IST18.mp4,1.902,straight_shot,IST18_topview
data/Indoor Field/Straight Shot/Top-View/IST99.mp4,1.802,straight_shot,IST99_topview
data/Indoor Field/Straight Shot/Top-View/IST36.mp4,1.835,straight_shot,IST36_topview
data/Indoor Field/Straight Shot/Top-View/IST01.mp4,1.902,straight_shot,IST01_topview
data/Indoor Field/Straight Shot/Top-View/IST71.mp4,1.919,straight_shot,IST71_topview
data/Indoor Field/Straight Shot/Top-View/IST64.mp4,1.818,straight_shot,IST64_topview
data/Indoor Field/Straight Shot/Top-View/IST97.mp4,1.935,straight_shot,IST97_topview
data/Indoor Field/Straight Shot/Top-View/IST65.mp4,1.752,straight_shot,IST65_topview
data/Indoor Field/Straight Shot/Top-View/IST83.mp4,1.785,straight_shot,IST83_topview
data/Indoor Field/Straight Shot/Top-View/IST98.mp4,1.969,straight_shot,IST98_topview
data/Indoor Field/Straight Shot/Top-View/IST13.mp4,2.085,straight_shot,IST13_topview
data/Indoor Field/Straight Shot/Top-View/IST76.mp4,1.952,straight_shot,IST76_topview
data/Indoor Field/Straight Shot/Top-View/IST17.mp4,2.002,straight_shot,IST17_topview
data/Indoor Field/Straight Shot/Top-View/IST19.mp4,2.019,straight_shot,IST19_topview
data/Indoor Field/Straight Shot/Top-View/IST96.mp4,1.969,straight_shot,IST96_topview
data/Indoor Field/Straight Shot/Top-View/IST45.mp4,1.835,straight_shot,IST45_topview
data/Indoor Field/Straight Shot/Top-View/IST38.mp4,1.818,straight_shot,IST38_topview
data/Indoor Field/Straight Shot/Top-View/IST40.mp4,1.034,straight_shot,IST40_topview
data/Indoor Field/Straight Shot/Top-View/IST20.mp4,1.768,straight_shot,IST20_topview
data/Indoor Field/Straight Shot/Top-View/IST30.mp4,0.968,straight_shot,IST30_topview
data/Indoor Field/Straight Shot/Side-View/ISS85.mp4,1.468,straight_shot,ISS85_sideview
data/Indoor Field/Straight Shot/Side-View/ISS13.mp4,2.019,straight_shot,ISS13_sideview
data/Indoor Field/Straight Shot/Side-View/ISS35.mp4,1.652,straight_shot,ISS35_sideview
data/Indoor Field/Straight Shot/Side-View/ISS88.mp4,2.019,straight_shot,ISS88_sideview
data/Indoor Field/Straight Shot/Side-View/ISS75.mp4,1.518,straight_shot,ISS75_sideview
data/Indoor Field/Straight Shot/Side-View/ISS57.mp4,1.502,straight_shot,ISS57_sideview
data/Indoor Field/Straight Shot/Side-View/ISS62.mp4,1.201,straight_shot,ISS62_sideview
data/Indoor Field/Straight Shot/Side-View/ISS60.mp4,1.151,straight_shot,ISS60_sideview
data/Indoor Field/Straight Shot/Side-View/ISS94.mp4,1.735,straight_shot,ISS94_sideview
data/Indoor Field/Straight Shot/Side-View/ISS18.mp4,1.468,straight_shot,ISS18_sideview
data/Indoor Field/Straight Shot/Side-View/ISS96.mp4,1.502,straight_shot,ISS96_sideview
data/Indoor Field/Straight Shot/Side-View/ISS98.mp4,1.251,straight_shot,ISS98_sideview
data/Indoor Field/Straight Shot/Side-View/ISS03.mp4,1.418,straight_shot,ISS03_sideview
data/Indoor Field/Straight Shot/Side-View/ISS22.mp4,1.785,straight_shot,ISS22_sideview
data/Indoor Field/Straight Shot/Side-View/ISS71.mp4,1.685,straight_shot,ISS71_sideview
data/Indoor Field/Straight Shot/Side-View/ISS97.mp4,1.418,straight_shot,ISS97_sideview
data/Indoor Field/Straight Shot/Side-View/ISS76.mp4,1.485,straight_shot,ISS76_sideview
data/Indoor Field/Straight Shot/Side-View/ISS10.mp4,1.835,straight_shot,ISS10_sideview
data/Indoor Field/Straight Shot/Side-View/ISS27.mp4,1.718,straight_shot,ISS27_sideview
data/Indoor Field/Straight Shot/Side-View/ISS25.mp4,1.652,straight_shot,ISS25_sideview
data/Indoor Field/Straight Shot/Side-View/ISS89.mp4,1.201,straight_shot,ISS89_sideview
data/Indoor Field/Straight Shot/Side-View/ISS51.mp4,1.368,straight_shot,ISS51_sideview
data/Indoor Field/Straight Shot/Side-View/ISS72.mp4,0.117,straight_shot,ISS72_sideview
data/Indoor Field/Straight Shot/Side-View/ISS06.mp4,1.835,straight_shot,ISS06_sideview
data/Indoor Field/Straight Shot/Side-View/ISS84.mp4,1.001,straight_shot,ISS84_sideview
data/Indoor Field/Straight Shot/Side-View/ISS59.mp4,1.451,straight_shot,ISS59_sideview
data/Indoor Field/Straight Shot/Side-View/ISS54.mp4,1.618,straight_shot,ISS54_sideview
data/Indoor Field/Straight Shot/Side-View/ISS29.mp4,1.485,straight_shot,ISS29_sideview
data/Indoor Field/Straight Shot/Side-View/ISS01.mp4,1.702,straight_shot,ISS01_sideview
data/Indoor Field/Straight Shot/Side-View/ISS21.mp4,1.785,straight_shot,ISS21_sideview
data/Indoor Field/Straight Shot/Side-View/ISS46.mp4,1.919,straight_shot,ISS46_sideview
data/Indoor Field/Straight Shot/Side-View/ISS91.mp4,1.585,straight_shot,ISS91_sideview
data/Indoor Field/Straight Shot/Side-View/ISS28.mp4,1.618,straight_shot,ISS28_sideview
data/Indoor Field/Straight Shot/Side-View/ISS70.mp4,1.685,straight_shot,ISS70_sideview
data/Indoor Field/Straight Shot/Side-View/ISS43.mp4,1.735,straight_shot,ISS43_sideview
data/Indoor Field/Straight Shot/Side-View/ISS17.mp4,1.835,straight_shot,ISS17_sideview
data/Indoor Field/Straight Shot/Side-View/ISS26.mp4,1.468,straight_shot,ISS26_sideview
data/Indoor Field/Straight Shot/Side-View/ISS90.mp4,1.835,straight_shot,ISS90_sideview
data/Indoor Field/Straight Shot/Side-View/ISS52.mp4,1.702,straight_shot,ISS52_sideview
data/Indoor Field/Straight Shot/Side-View/ISS02.mp4,2.019,straight_shot,ISS02_sideview
data/Indoor Field/Straight Shot/Side-View/ISS12.mp4,1.785,straight_shot,ISS12_sideview
data/Indoor Field/Straight Shot/Side-View/ISS44.mp4,1.418,straight_shot,ISS44_sideview
data/Indoor Field/Straight Shot/Side-View/ISS09.mp4,1.652,straight_shot,ISS09_sideview
data/Indoor Field/Straight Shot/Side-View/ISS83.mp4,1.969,straight_shot,ISS83_sideview
data/Indoor Field/Straight Shot/Side-View/ISS39.mp4,1.585,straight_shot,ISS39_sideview
data/Indoor Field/Straight Shot/Side-View/ISS08.mp4,1.802,straight_shot,ISS08_sideview
data/Indoor Field/Straight Shot/Side-View/ISS63.mp4,1.852,straight_shot,ISS63_sideview
data/Indoor Field/Straight Shot/Side-View/ISS23.mp4,1.785,straight_shot,ISS23_sideview
data/Indoor Field/Straight Shot/Side-View/ISS05.mp4,1.485,straight_shot,ISS05_sideview
data/Indoor Field/Straight Shot/Side-View/ISS95.mp4,1.351,straight_shot,ISS95_sideview
data/Indoor Field/Straight Shot/Side-View/ISS34.mp4,1.718,straight_shot,ISS34_sideview
data/Indoor Field/Straight Shot/Side-View/ISS67.mp4,1.735,straight_shot,ISS67_sideview
data/Indoor Field/Straight Shot/Side-View/ISS30.mp4,1.485,straight_shot,ISS30_sideview
data/Indoor Field/Straight Shot/Side-View/ISS87.mp4,1.702,straight_shot,ISS87_sideview
data/Indoor Field/Straight Shot/Side-View/ISS16.mp4,1.919,straight_shot,ISS16_sideview
data/Indoor Field/Straight Shot/Side-View/ISS48.mp4,1.652,straight_shot,ISS48_sideview
data/Indoor Field/Straight Shot/Side-View/ISS53.mp4,0.400,straight_shot,ISS53_sideview
data/Indoor Field/Straight Shot/Side-View/ISS50.mp4,1.685,straight_shot,ISS50_sideview
data/Indoor Field/Straight Shot/Side-View/ISS77.mp4,1.785,straight_shot,ISS77_sideview
data/Indoor Field/Straight Shot/Side-View/ISS58.mp4,1.485,straight_shot,ISS58_sideview
data/Indoor Field/Straight Shot/Side-View/ISS92.mp4,0.801,straight_shot,ISS92_sideview
data/Indoor Field/Straight Shot/Side-View/ISS99.mp4,0.684,straight_shot,ISS99_sideview
data/Indoor Field/Straight Shot/Side-View/ISS65.mp4,1.535,straight_shot,ISS65_sideview
data/Indoor Field/Straight Shot/Side-View/ISS93.mp4,1.518,straight_shot,ISS93_sideview
data/Indoor Field/Straight Shot/Side-View/ISS40.mp4,1.602,straight_shot,ISS40_sideview
data/Indoor Field/Straight Shot/Side-View/ISS79.mp4,1.635,straight_shot,ISS79_sideview
data/Indoor Field/Straight Shot/Side-View/ISS45.mp4,1.418,straight_shot,ISS45_sideview
data/Indoor Field/Straight Shot/Side-View/ISS19.mp4,1.468,straight_shot,ISS19_sideview
data/Indoor Field/Straight Shot/Side-View/ISS68.mp4,1.585,straight_shot,ISS68_sideview
data/Indoor Field/Straight Shot/Side-View/ISS66.mp4,1.351,straight_shot,ISS66_sideview
data/Indoor Field/Straight Shot/Side-View/ISS36.mp4,1.752,straight_shot,ISS36_sideview
data/Indoor Field/Straight Shot/Side-View/ISS04.mp4,1.685,straight_shot,ISS04_sideview
data/Indoor Field/Straight Shot/Side-View/ISS20.mp4,1.435,straight_shot,ISS20_sideview
data/Indoor Field/Straight Shot/Side-View/ISS14.mp4,1.635,straight_shot,ISS14_sideview
data/Indoor Field/Straight Shot/Side-View/ISS07.mp4,1.835,straight_shot,ISS07_sideview
data/Indoor Field/Straight Shot/Side-View/ISS64.mp4,1.502,straight_shot,ISS64_sideview
data/Indoor Field/Straight Shot/Side-View/ISS78.mp4,1.602,straight_shot,ISS78_sideview
data/Indoor Field/Straight Shot/Side-View/ISS42.mp4,1.768,straight_shot,ISS42_sideview
data/Indoor Field/Straight Shot/Side-View/ISS82.mp4,1.151,straight_shot,ISS82_sideview
data/Indoor Field/Straight Shot/Side-View/ISS24.mp4,1.869,straight_shot,ISS24_sideview
data/Indoor Field/Straight Shot/Side-View/ISS31.mp4,1.518,straight_shot,ISS31_sideview
data/Indoor Field/Straight Shot/Side-View/ISS49.mp4,1.735,straight_shot,ISS49_sideview
data/Indoor Field/Straight Shot/Side-View/ISS55.mp4,1.468,straight_shot,ISS55_sideview
data/Indoor Field/Straight Shot/Side-View/ISS32.mp4,1.535,straight_shot,ISS32_sideview
data/Indoor Field/Straight Shot/Side-View/ISS15.mp4,1.502,straight_shot,ISS15_sideview
data/Indoor Field/Straight Shot/Side-View/ISS86.mp4,1.351,straight_shot,ISS86_sideview
data/Indoor Field/Straight Shot/Side-View/ISS33.mp4,1.668,straight_shot,ISS33_sideview
data/Indoor Field/Straight Shot/Side-View/ISS56.mp4,1.585,straight_shot,ISS56_sideview
data/Indoor Field/Straight Shot/Side-View/ISS11.mp4,1.535,straight_shot,ISS11_sideview
data/Indoor Field/Straight Shot/Side-View/ISS47.mp4,1.802,straight_shot,ISS47_sideview
data/Indoor Field/Straight Shot/Side-View/ISS73.mp4,0.884,straight_shot,ISS73_sideview
data/Indoor Field/Straight Shot/Side-View/ISS61.mp4,1.485,straight_shot,ISS61_sideview
data/Indoor Field/Straight Shot/Side-View/ISS38.mp4,1.668,straight_shot,ISS38_sideview
data/Indoor Field/Straight Shot/Side-View/ISS69.mp4,1.685,straight_shot,ISS69_sideview
data/Indoor Field/Straight Shot/Side-View/ISS80.mp4,0.918,straight_shot,ISS80_sideview
data/Indoor Field/Straight Shot/Side-View/ISS81.mp4,1.185,straight_shot,ISS81_sideview
data/Indoor Field/Straight Shot/Side-View/ISS37.mp4,1.735,straight_shot,ISS37_sideview
data/Indoor Field/Straight Shot/Side-View/ISS41.mp4,1.485,straight_shot,ISS41_sideview
data/Indoor Field/Straight Shot/Side-View/ISS74.mp4,1.502,straight_shot,ISS74_sideview
data/Indoor Field/Cross-court Shot/Top-View/ICT79.mp4,,cross_court,ICT79_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT05.mp4,,cross_court,ICT05_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT63.mp4,,cross_court,ICT63_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT62.mp4,,cross_court,ICT62_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT06.mp4,,cross_court,ICT06_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT83.mp4,,cross_court,ICT83_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT68.mp4,,cross_court,ICT68_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT99.mp4,,cross_court,ICT99_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT58.mp4,,cross_court,ICT58_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT76.mp4,,cross_court,ICT76_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT33.mp4,,cross_court,ICT33_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT42.mp4,,cross_court,ICT42_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT77.mp4,,cross_court,ICT77_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT29.mp4,,cross_court,ICT29_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT14.mp4,,cross_court,ICT14_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT48.mp4,,cross_court,ICT48_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT71.mp4,,cross_court,ICT71_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT35.mp4,,cross_court,ICT35_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT40.mp4,,cross_court,ICT40_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT10.mp4,,cross_court,ICT10_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT91.mp4,,cross_court,ICT91_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT57.mp4,,cross_court,ICT57_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT24.mp4,,cross_court,ICT24_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT78.mp4,,cross_court,ICT78_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT30.mp4,,cross_court,ICT30_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT89.mp4,,cross_court,ICT89_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT93.mp4,,cross_court,ICT93_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT80.mp4,,cross_court,ICT80_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT41.mp4,,cross_court,ICT41_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT11.mp4,,cross_court,ICT11_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT09.mp4,,cross_court,ICT09_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT44.mp4,,cross_court,ICT44_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT07.mp4,,cross_court,ICT07_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT45.mp4,,cross_court,ICT45_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT55.mp4,,cross_court,ICT55_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT61.mp4,,cross_court,ICT61_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT95.mp4,,cross_court,ICT95_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT72.mp4,,cross_court,ICT72_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT49.mp4,,cross_court,ICT49_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT18.mp4,,cross_court,ICT18_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT27.mp4,,cross_court,ICT27_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT86.mp4,,cross_court,ICT86_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT17.mp4,,cross_court,ICT17_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT53.mp4,,cross_court,ICT53_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT94.mp4,,cross_court,ICT94_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT23.mp4,,cross_court,ICT23_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT75.mp4,,cross_court,ICT75_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT74.mp4,,cross_court,ICT74_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT37.mp4,,cross_court,ICT37_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT92.mp4,,cross_court,ICT92_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT85.mp4,,cross_court,ICT85_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT59.mp4,,cross_court,ICT59_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT70.mp4,,cross_court,ICT70_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT51.mp4,,cross_court,ICT51_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT36.mp4,,cross_court,ICT36_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT88.mp4,,cross_court,ICT88_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT65.mp4,,cross_court,ICT65_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT08.mp4,,cross_court,ICT08_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT47.mp4,,cross_court,ICT47_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT39.mp4,,cross_court,ICT39_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT22.mp4,,cross_court,ICT22_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT66.mp4,,cross_court,ICT66_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT03.mp4,,cross_court,ICT03_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT43.mp4,,cross_court,ICT43_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT46.mp4,,cross_court,ICT46_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT15.mp4,,cross_court,ICT15_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT64.mp4,,cross_court,ICT64_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT16.mp4,,cross_court,ICT16_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT67.mp4,,cross_court,ICT67_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT54.mp4,,cross_court,ICT54_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT28.mp4,,cross_court,ICT28_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT02.mp4,,cross_court,ICT02_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT96.mp4,,cross_court,ICT96_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT82.mp4,,cross_court,ICT82_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT73.mp4,,cross_court,ICT73_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT31.mp4,,cross_court,ICT31_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT04.mp4,,cross_court,ICT04_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT25.mp4,,cross_court,ICT25_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT97.mp4,,cross_court,ICT97_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT87.mp4,,cross_court,ICT87_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT34.mp4,,cross_court,ICT34_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT69.mp4,,cross_court,ICT69_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT56.mp4,,cross_court,ICT56_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT52.mp4,,cross_court,ICT52_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT81.mp4,,cross_court,ICT81_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT98.mp4,,cross_court,ICT98_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT50.mp4,,cross_court,ICT50_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT38.mp4,,cross_court,ICT38_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT21.mp4,,cross_court,ICT21_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT32.mp4,,cross_court,ICT32_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT26.mp4,,cross_court,ICT26_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT19.mp4,,cross_court,ICT19_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT20.mp4,,cross_court,ICT20_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT13.mp4,,cross_court,ICT13_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT90.mp4,,cross_court,ICT90_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT60.mp4,,cross_court,ICT60_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT12.mp4,,cross_court,ICT12_topview
data/Indoor Field/Cross-court Shot/Top-View/ICT84.mp4,,cross_court,ICT84_topview
